#the following are all divsystems
4400506_D, Wideman Ditch DivSys,4400506,4400707,4400657
4400607_D, Egry Mesa Ditch DivSys,4400607,4400759
4400808_D, Five Pines Pump DivSys,4400808,4401247
4400863_D, Henry Sweeney Ditch,4400863,4402326
5400574_D, Slater Park Ditch DivSys,5400574,5400572
5401070_D, Anderson D Grieve DivSys,5401070,5401171
5700555_D, Last Chance Ditch DivSys,5700555,5700750
5700576_D, Orno Ditch DivSys,5700576,5701155
5700623_D, Williams Park Ditch DivSys,5700623,5701034,5701240
5700579_D, R E Clark Ditch DivSys,5700579,5700511,5700567
5700508_D, Brock Ditch DivSys,5700508,5702046
5800583_D, Charles H Kemmer Ditch DivSys,5800583,5801621
5800649_D, Franz Ditch DivSys,5800649,5801096
5800847_D, Sand Creek Ditch DivSys,5800847,5801595
5800895_D, Sunnyside Ditch 1 DivSys,5800895,5800595
5800915_D, Upper Elk River D Co DivSys,5800915,5801635
5800943_D, Woodchuck Ditch DivSys,5800943,5801091
5804685_D, Stillwater Ditch DivSys,5804685,5800501,5800611
5805059_D, Mt Werner Wells G and H,5805059,5806140
